dt_iso,dt,lat,lon,temp,dew_point,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1979-01-01,284038200.0,-14.599413,-28.673147,298.0391666666667,293.97083333333336,297.95166666666665,298.12333333333333,1013.9583333333334,78.33333333333333,7.506666666666667,80.95833333333333,0.15,,30.291666666666668,776.5416666666666,Clouds,scattered clouds,03d
1979-01-02,284124600.0,-14.599413,-28.673147,298.01458333333335,294.69916666666666,297.935,298.09208333333333,1014.8333333333334,81.91666666666667,7.2629166666666665,91.41666666666667,0.11,,51.958333333333336,789.6666666666666,Clouds,broken clouds,04n
1979-01-03,284211000.0,-14.599413,-28.673147,297.57625,293.55833333333334,297.53291666666667,297.61708333333337,1015.0416666666666,78.45833333333333,6.8566666666666665,98.70833333333333,,,43.083333333333336,802.1666666666666,Clouds,broken clouds,04d
1979-01-04,284297400.0,-14.599413,-28.673147,297.7816666666667,293.43874999999997,297.7141666666667,297.84833333333336,1013.7083333333334,76.875,6.4312499999999995,97.25,0.12,,49.333333333333336,789.6666666666666,Clouds,broken clouds,04d
1979-01-05,284383800.0,-14.599413,-28.673147,297.73791666666665,294.11791666666664,297.67083333333335,297.8070833333333,1012.0416666666666,80.375,5.136666666666667,92.125,,,69.20833333333333,803.0833333333334,Clouds,overcast clouds,04d
1979-01-06,284470200.0,-14.599413,-28.673147,297.82125,294.35833333333335,297.7341666666667,297.90125,1012.125,81.125,4.2175,70.29166666666667,0.1,,46.333333333333336,777.0833333333334,Clouds,broken clouds,04d
1979-01-07,284556600.0,-14.599413,-28.673147,298.1566666666667,295.12333333333333,298.06916666666666,298.25083333333333,1013.4583333333334,83.29166666666667,6.3975,63.625,0.11499999999999999,,42.666666666666664,751.75,Clouds,scattered clouds,03n
1979-01-08,284643000.0,-14.599413,-28.673147,298.16833333333335,295.1504166666667,298.09375,298.2504166666667,1014.6666666666666,83.45833333333333,6.555,72.04166666666667,,,78.66666666666667,803.2916666666666,Clouds,overcast clouds,04n
1979-01-09,284729400.0,-14.599413,-28.673147,298.31458333333336,293.7766666666667,298.27375,298.3575,1014.5416666666666,76.08333333333333,6.38,67.20833333333333,,,54.166666666666664,802.5416666666666,Clouds,scattered clouds,03d
1979-01-10,284815800.0,-14.599413,-28.673147,298.5408333333333,293.77958333333333,298.44,298.6379166666667,1014.7916666666666,75.04166666666667,5.065833333333333,96.79166666666667,,,71.79166666666667,803.25,Clouds,overcast clouds,04n
1979-01-11,284902200.0,-14.599413,-28.673147,298.3654166666667,294.7525,298.3029166666667,298.43333333333334,1013.4166666666666,80.45833333333333,7.175416666666667,101.625,0.11,,55.375,790.0416666666666,Clouds,scattered clouds,03d
1979-01-12,284988600.0,-14.599413,-28.673147,298.31916666666666,294.53416666666664,298.21,298.43833333333333,1012.4166666666666,79.58333333333333,6.615416666666667,94.54166666666667,0.14,,51.083333333333336,789.8333333333334,Clouds,broken clouds,04d
1979-01-13,285075000.0,-14.599413,-28.673147,298.46541666666667,294.61291666666665,298.38,298.54541666666665,1011.875,79.29166666666667,6.309166666666666,94.20833333333333,0.14500000000000002,,65.66666666666667,777.625,Clouds,overcast clouds,04d
1979-01-14,285161400.0,-14.599413,-28.673147,298.67583333333334,295.13916666666665,298.59999999999997,298.75,1012.0,80.875,7.247916666666666,66.79166666666667,,,83.79166666666667,803.5,Clouds,overcast clouds,04d
1979-01-15,285247800.0,-14.599413,-28.673147,298.6195833333333,294.96375,298.5445833333333,298.69416666666666,1013.2916666666666,80.29166666666667,7.2629166666666665,79.66666666666667,,,93.25,803.8333333333334,Clouds,overcast clouds,04d
1979-01-16,285334200.0,-14.599413,-28.673147,298.3804166666667,294.44958333333335,298.27416666666664,298.4791666666667,1012.375,78.91666666666667,7.65375,95.125,0.17,,93.0,778.4583333333334,Clouds,overcast clouds,04d
1979-01-17,285420600.0,-14.599413,-28.673147,297.8775,294.54125,297.7658333333333,297.9791666666667,1011.5416666666666,81.83333333333333,6.5370833333333325,81.04166666666667,0.15555555555555556,,78.20833333333333,689.5416666666666,Clouds,broken clouds,04n
1979-01-18,285507000.0,-14.599413,-28.673147,297.9741666666667,294.5529166666667,297.77916666666664,298.17583333333334,1012.3333333333334,81.375,6.97375,75.41666666666667,0.13285714285714287,,44.083333333333336,713.875,Clouds,scattered clouds,03d
1979-01-19,285593400.0,-14.599413,-28.673147,298.84,294.0266666666667,298.7554166666667,298.9216666666667,1014.2916666666666,74.79166666666667,7.611666666666667,81.04166666666667,,,58.625,802.7083333333334,Clouds,broken clouds,04n
1979-01-20,285679800.0,-14.599413,-28.673147,298.915,294.9241666666667,298.855,298.96875,1015.0416666666666,78.66666666666667,6.398333333333333,103.70833333333333,,,33.5,801.6666666666666,Clouds,scattered clouds,03d
1979-01-21,285766200.0,-14.599413,-28.673147,298.7595833333333,294.90416666666664,298.7029166666667,298.8175,1013.25,79.29166666666667,5.789166666666667,103.91666666666667,,,30.916666666666668,801.7083333333334,Clouds,scattered clouds,03d
1979-01-22,285852600.0,-14.599413,-28.673147,298.77916666666664,295.1116666666667,298.7083333333333,298.85083333333336,1012.5416666666666,80.20833333333333,5.737916666666667,89.45833333333333,,,31.583333333333332,801.5833333333334,Clouds,scattered clouds,03d
1979-01-23,285939000.0,-14.599413,-28.673147,298.99708333333336,294.8904166666667,298.90458333333333,299.09041666666667,1013.1666666666666,78.16666666666667,6.435833333333334,84.75,0.19,,19.25,788.5,Clouds,few clouds,01d
1979-01-24,286025400.0,-14.599413,-28.673147,298.73083333333335,295.0541666666667,298.6408333333333,298.8179166666667,1014.25,80.20833333333333,7.9629166666666675,95.875,0.125,,23.791666666666668,776.2083333333334,Clouds,few clouds,02n
1979-01-25,286111800.0,-14.599413,-28.673147,298.58708333333334,294.85041666666666,298.4316666666667,298.7345833333333,1014.4166666666666,80.0,7.4575,97.625,0.18333333333333335,,34.708333333333336,688.5,Clouds,light rain,03d
1979-01-26,286198200.0,-14.599413,-28.673147,298.795,293.0370833333333,298.66291666666666,298.93041666666664,1014.0,70.70833333333333,6.465416666666666,81.25,0.186,,41.041666666666664,738.5833333333334,Clouds,scattered clouds,01d
1979-01-27,286284600.0,-14.599413,-28.673147,299.21666666666664,294.28458333333333,299.16333333333336,299.2716666666667,1013.75,74.375,6.490833333333334,78.25,,,44.0,802.25,Clouds,scattered clouds,03n
1979-01-28,286371000.0,-14.599413,-28.673147,299.16041666666666,294.00916666666666,299.05041666666665,299.2633333333333,1013.7083333333334,73.54166666666667,7.461666666666666,95.5,,,20.458333333333332,801.0416666666666,Clouds,sky is clear,01d
1979-01-29,286457400.0,-14.599413,-28.673147,298.68916666666667,294.67625,298.5933333333333,298.78875,1012.625,78.54166666666667,7.35625,88.58333333333333,0.12,,27.75,763.7916666666666,Clouds,scattered clouds,03d
1979-01-30,286543800.0,-14.599413,-28.673147,299.015,294.37166666666667,298.9316666666667,299.09,1012.5,75.66666666666667,6.683333333333334,69.29166666666667,,,13.416666666666666,800.7083333333334,Clouds,sky is clear,01d
1979-01-31,286630200.0,-14.599413,-28.673147,298.6820833333333,294.9479166666667,298.635,298.72583333333336,1013.25,79.875,6.565416666666667,75.20833333333333,0.12,,20.583333333333332,776.0,Clouds,scattered clouds,01d
1979-02-01,286716600.0,-14.599413,-28.673147,298.505,294.75916666666666,298.43375,298.58666666666664,1014.0,79.79166666666667,6.377916666666667,85.66666666666667,0.175,,26.416666666666668,776.4583333333334,Clouds,scattered clouds,03d
1979-02-02,286803000.0,-14.599413,-28.673147,297.9995833333333,294.705,297.90458333333333,298.09291666666667,1014.2916666666666,82.04166666666667,7.422499999999999,97.66666666666667,0.1875,,45.291666666666664,701.2916666666666,Clouds,few clouds,02n
1979-02-03,286889400.0,-14.599413,-28.673147,298.4770833333333,293.3379166666667,298.3545833333333,298.58958333333334,1013.9583333333334,73.33333333333333,6.735,90.91666666666667,0.12,,17.25,788.3333333333334,Clouds,sky is clear,01d
1979-02-04,286975800.0,-14.599413,-28.673147,298.46750000000003,293.9433333333333,298.37291666666664,298.56916666666666,1012.875,76.08333333333333,7.49875,87.875,0.15,,24.541666666666668,788.8333333333334,Clouds,few clouds,02d
1979-02-05,287062200.0,-14.599413,-28.673147,298.59041666666667,293.26916666666665,298.49875000000003,298.685,1013.0416666666666,72.45833333333333,6.380416666666666,99.41666666666667,,,15.083333333333334,800.875,Clouds,sky is clear,01d
1979-02-06,287148600.0,-14.599413,-28.673147,298.26916666666665,293.75666666666666,298.1383333333334,298.4008333333333,1012.9583333333334,76.20833333333333,6.127916666666667,90.125,0.2575,,25.125,750.7083333333334,Clouds,few clouds,01d
1979-02-07,287235000.0,-14.599413,-28.673147,298.9633333333333,293.3025,298.92125,299.00416666666666,1014.25,71.0,6.047499999999999,81.125,,,13.916666666666666,800.625,Clear,sky is clear,01d
1979-02-08,287321400.0,-14.599413,-28.673147,299.1775,294.0129166666667,299.08583333333337,299.26625,1014.5,73.25,6.199166666666667,78.33333333333333,,,33.958333333333336,801.7916666666666,Clouds,scattered clouds,03d
1979-02-09,287407800.0,-14.599413,-28.673147,298.8879166666667,295.10541666666666,298.75124999999997,299.01458333333335,1014.875,79.66666666666667,5.737916666666667,92.91666666666667,0.11,,41.333333333333336,789.625,Clouds,scattered clouds,03d
1979-02-10,287494200.0,-14.599413,-28.673147,298.8483333333333,296.0854166666667,298.72875,298.9591666666667,1015.4583333333334,84.79166666666667,7.372916666666666,101.91666666666667,0.15222222222222223,,89.0,689.7083333333334,Clouds,light rain,04d
1979-02-11,287580600.0,-14.599413,-28.673147,298.9016666666667,295.4220833333333,298.79083333333335,299.0108333333333,1014.9166666666666,81.20833333333333,6.452500000000001,101.375,0.11499999999999999,,89.0,778.5416666666666,Clouds,overcast clouds,04d
1979-02-12,287667000.0,-14.599413,-28.673147,299.23541666666665,295.53249999999997,299.17291666666665,299.3075,1014.2083333333334,80.08333333333333,6.1625000000000005,95.29166666666667,0.1,,42.625,789.375,Clouds,broken clouds,02d
1979-02-13,287753400.0,-14.599413,-28.673147,298.75,295.4195833333333,298.57375,298.9245833333334,1014.1666666666666,81.91666666666667,7.029583333333334,86.625,0.15666666666666668,,19.541666666666668,763.375,Clouds,few clouds,02n
1979-02-14,287839800.0,-14.599413,-28.673147,299.1504166666667,294.77708333333334,299.0708333333333,299.2325,1014.2916666666666,76.95833333333333,6.50375,81.41666666666667,,,17.833333333333332,800.9583333333334,Clouds,sky is clear,01d
1979-02-15,287926200.0,-14.599413,-28.673147,299.16249999999997,295.39833333333337,299.0933333333333,299.23125,1013.9166666666666,79.83333333333333,6.492916666666667,72.29166666666667,0.185,,50.458333333333336,777.2083333333334,Clouds,scattered clouds,03d
1979-02-16,288012600.0,-14.599413,-28.673147,299.05916666666667,294.99666666666667,298.9875,299.13208333333336,1012.7083333333334,78.33333333333333,6.384166666666666,100.79166666666667,,,92.0,803.875,Clouds,overcast clouds,04d
1979-02-17,288099000.0,-14.599413,-28.673147,299.0133333333333,294.6066666666667,298.9141666666667,299.0995833333333,1012.0833333333334,76.75,6.743333333333333,89.08333333333333,0.11,,88.125,791.0,Clouds,overcast clouds,04n
1979-02-18,288185400.0,-14.599413,-28.673147,299.1775,294.9170833333333,299.07958333333335,299.27833333333336,1013.0833333333334,77.5,7.997916666666666,79.91666666666667,0.27,,18.25,788.375,Clouds,few clouds,02d
1979-02-19,288271800.0,-14.599413,-28.673147,298.9533333333333,294.72125,298.85833333333335,299.0445833333333,1013.75,77.5,7.055,88.70833333333333,,,13.0,800.625,Clouds,few clouds,01d
1979-02-20,288358200.0,-14.599413,-28.673147,298.9275,294.8254166666667,298.81125000000003,299.0441666666666,1013.625,78.20833333333333,6.39,88.125,0.202,,21.833333333333332,738.375,Clouds,few clouds,02d
1979-02-21,288444600.0,-14.599413,-28.673147,298.64416666666665,294.42541666666665,298.54625,298.7366666666667,1013.7083333333334,77.625,6.406666666666666,92.91666666666667,,,40.125,802.0,Clouds,scattered clouds,03n
1979-02-22,288531000.0,-14.599413,-28.673147,298.66125,293.94874999999996,298.56666666666666,298.7425,1013.7916666666666,75.25,5.447916666666667,89.41666666666667,,,60.5,802.8333333333334,Clouds,broken clouds,04d
1979-02-23,288617400.0,-14.599413,-28.673147,298.54875,294.49125,298.4691666666667,298.62791666666664,1013.1666666666666,78.29166666666667,6.648333333333333,103.95833333333333,0.13,,47.75,726.7083333333334,Clouds,scattered clouds,03d
1979-02-24,288703800.0,-14.599413,-28.673147,298.6075,294.97666666666663,298.5129166666666,298.69458333333336,1012.625,80.41666666666667,7.740833333333334,104.16666666666667,0.195,,25.666666666666668,776.3333333333334,Clouds,scattered clouds,03n
1979-02-25,288790200.0,-14.599413,-28.673147,299.11583333333334,293.90875,299.04333333333335,299.18833333333333,1013.625,73.04166666666667,7.953333333333333,103.66666666666667,,,28.916666666666668,801.4166666666666,Clouds,few clouds,01d
1979-02-26,288876600.0,-14.599413,-28.673147,298.61583333333334,294.5825,298.4558333333333,298.77,1014.6666666666666,78.625,7.4191666666666665,100.20833333333333,0.13428571428571429,,39.25,713.7083333333334,Clouds,light rain,10n
1979-02-27,288963000.0,-14.599413,-28.673147,299.27375,294.4775,299.18,299.3641666666667,1014.625,75.04166666666667,8.902916666666668,109.54166666666667,0.11,,28.958333333333332,776.4583333333334,Clouds,scattered clouds,03d
1979-02-28,289049400.0,-14.599413,-28.673147,299.24125,295.3079166666667,299.12333333333333,299.35833333333335,1014.0833333333334,79.04166666666667,9.080833333333333,105.29166666666667,0.16,,24.125,788.7083333333334,Clouds,few clouds,02d
1979-03-01,289135800.0,-14.599413,-28.673147,298.7716666666667,295.69374999999997,298.56125000000003,298.9825,1014.4583333333334,83.20833333333333,7.878333333333334,98.83333333333333,0.162,,26.083333333333332,675.8333333333334,Clouds,light rain,10d
1979-03-02,289222200.0,-14.599413,-28.673147,298.68125000000003,296.01708333333335,298.54375,298.8433333333333,1014.25,85.29166666666667,7.014583333333333,96.91666666666667,0.181,,30.166666666666668,675.625,Clouds,light rain,10d
1979-03-03,289308600.0,-14.599413,-28.673147,299.25708333333336,295.7966666666667,299.19666666666666,299.3170833333333,1013.875,81.29166666666667,6.906666666666666,104.5,0.14,,17.833333333333332,788.4583333333334,Clouds,few clouds,02d
1979-03-04,289395000.0,-14.599413,-28.673147,299.10041666666666,295.3125,299.02125,299.18625000000003,1014.0,79.70833333333333,6.8620833333333335,100.54166666666667,0.13333333333333333,,20.208333333333332,763.4166666666666,Clouds,few clouds,02d
1979-03-05,289481400.0,-14.599413,-28.673147,298.92333333333335,295.54541666666665,298.8575,298.99,1014.5,81.66666666666667,6.528333333333333,94.875,0.155,,37.625,751.5,Clouds,broken clouds,04d
1979-03-06,289567800.0,-14.599413,-28.673147,299.18416666666667,295.4795833333333,299.09708333333333,299.2716666666667,1013.7916666666666,80.08333333333333,7.347916666666666,97.04166666666667,0.11666666666666665,,47.083333333333336,764.3333333333334,Clouds,few clouds,02d
1979-03-07,289654200.0,-14.599413,-28.673147,299.07958333333335,294.50791666666663,299.0358333333333,299.12416666666667,1013.375,76.04166666666667,7.68375,100.75,,,34.25,801.7083333333334,Clouds,scattered clouds,03d
1979-03-08,289740600.0,-14.599413,-28.673147,298.8516666666667,294.6225,298.79,298.9158333333333,1013.75,77.54166666666667,7.2941666666666665,99.83333333333333,0.11,,63.791666666666664,777.8333333333334,Clouds,broken clouds,04n
1979-03-09,289827000.0,-14.599413,-28.673147,298.4016666666667,294.65708333333333,298.27125,298.53000000000003,1014.8333333333334,79.83333333333333,7.327083333333333,98.0,0.14555555555555555,,45.666666666666664,688.7083333333334,Clouds,light rain,02d
1979-03-10,289913400.0,-14.599413,-28.673147,298.78541666666666,294.92291666666665,298.67125,298.9004166666667,1014.3333333333334,79.33333333333333,7.544583333333333,97.29166666666667,,,72.04166666666667,803.1666666666666,Clouds,overcast clouds,04d
